CODMORPHOCIMO3|LIBMORPHOCIMO3|MORPHO_IACR|GROUPE_MORPHO_IACR|REG_5|REG_14|REG_17
81202|Carcinome à cellules transitionnelles in situ|Squamous and transitional cell carcinomas|1|5||17
81203|Carcinome à cellules transitionnelles, SAI|Squamous and transitional cell carcinomas|1|5||17
81210|Papillome schneidérien, SAI (C30.0, C31.-)|Squamous and transitional cell carcinomas|1|5||17
81211|Papillome transitionnel inversé, SAI|Squamous and transitional cell carcinomas|1|5||17
81213|Carcinome schneidérien (C30.0, C31.-)|Squamous and transitional cell carcinomas|1|5||17
81223|Carcinome transitionnel à cellules fusiformes|Squamous and transitional cell carcinomas|1|5||17
81233|Carcinome basaloïde|Squamous and transitional cell carcinomas|1|5||17
81243|Tumeur cloacale maligne (C21.2)|Squamous and transitional cell carcinomas|1|5||17
81301|Tumeur transitionnelle papillaire à faible potentiel malin (C67.-)|Squamous and transitional cell carcinomas|1|5||17
81302|Carcinome transitionnel papillaire non invasif (C67.-)|Squamous and transitional cell carcinomas|1|5||17
81303|Carcinome transitionnel papillaire (C67.-)|Squamous and transitional cell carcinomas|1|5||17
81313|Carcinome transitionnel micro-papillaire (C67.-)|Squamous and transitional cell carcinomas|1|5||17
81400|Adénome, SAI|Adenocarcinomas|3|5||17
81401|Adénome atypique|Adenocarcinomas|3|5||17
81402|Adénocarcinome in situ, SAI|Adenocarcinomas|3|5||17
81403|Adénocarcinome, SAI|Adenocarcinomas|3|5||17
81406|Adénocarcinome métastatique, SAI|Adenocarcinomas|3|5||17
81413|Adénocarcinome squirrheux|Adenocarcinomas|3|5||17
81423|Linite plastique (C16.-)|Adenocarcinomas|3|5||17
81433|Adénocarcinome à extension superficielle|Adenocarcinomas|3|5||17
81443|Adénocarcinome de type intestinal (C16.-)|Adenocarcinomas|3|5||17
81453|Carcinome de type diffus (C16.-)|Adenocarcinomas|3|5||17
81460|Adénome monomorphe|Adenocarcinomas|3|5||17
81470|Adénome basocellulaire|Adenocarcinomas|3|5||17
81473|Adénocarcinome basocellulaire|Adenocarcinomas|3|5||17
81482|Néoplasie  glandulaire intraépithéliale, grade III|Adenocarcinomas|3|5||17
81490|Adénome canaliculaire|Adenocarcinomas|3|5||17
81500|Adénome insulaire, SAI (C25.-)|Other specific carcinomas|4|5||17
81501|Tumeur à cellules insulaires, SAI (C25.-)|Other specific carcinomas|4|5||17
81503|Carcinome insulaire du pancréas (C25.-)|Other specific carcinomas|4|5||17
81510|Insulinome, SAI (C25.-)|Other specific carcinomas|4|5||17
81513|Insulinome malin (C25.-)|Other specific carcinomas|4|5||17
81521|Glucagonome, SAI (C25.-)|Other specific carcinomas|4|5||17
81523|Glucagonome malin (C25.-)|Other specific carcinomas|4|5||17
81531|Gastrinome, SAI|Other specific carcinomas|4|5||17
81533|Gastrinome malin|Other specific carcinomas|4|5||17
81543|Adénocarcinome à cellules insulaires et à cellules exocrines (C25.-)|Other specific carcinomas|4|5||17
81551|Vipome, SAI|Other specific carcinomas|4|5||17
81553|Vipome malin|Other specific carcinomas|4|5||17
81561|Somatostatinome, SAI|Other specific carcinomas|4|5||17
81563|Somatostatinome malin|Other specific carcinomas|4|5||17
81571|Entéroglucagonome, SAI|Other specific carcinomas|4|5||17
81573|Entéroglucagonome malin|Other specific carcinomas|4|5||17
81600|Cholangiome bénin (C22.1, C24.0)|Adenocarcinomas|3|5||17
81603|Cholangiocarcinome (C22.1, C24.0)|Adenocarcinomas|3|5||17
81610|Cystadénome biliaire (C22.1, C24.0)|Adenocarcinomas|3|5||17
81613|Cystadénocarcinome biliaire (C22.1, C24.0)|Adenocarcinomas|3|5||17
81623|Tumeur de Klatskin (C22.1, C24.0)|Adenocarcinomas|3|5||17
81700|Hépatome bénin (C22.0)|Other specific carcinomas|4|5||17
81703|Carcinome hépatocellulaire, SAI (C22.0)|Other specific carcinomas|4|5||17
81713|Carcinome hépatocellulaire fibrolamellaire (C22.0)|Other specific carcinomas|4|5||17
81723|Carcinome hépatocellulaire squirrheux (C22.0)|Other specific carcinomas|4|5||17
81733|Carcinome hépatocellulaire, variante à cellules fusiformes (C22.0)|Other specific carcinomas|4|5||17
81743|Carcinome hépatocellulaire à cellules claires (C22.0)|Other specific carcinomas|4|5||17
81753|Carcinome hépatocellulaire pléomorphe (C22.0)|Other specific carcinomas|4|5||17
81803|Carcinome hépatocellulaire et cholangiocarcinome combinés (C22.0)|Other specific carcinomas|4|5||17
81900|Adénome trabéculaire|Adenocarcinomas|3|5||17
81903|Adénocarcinome trabéculaire, SAI|Adenocarcinomas|3|5||17
81910|Adénome embryonnaire|Adenocarcinomas|3|5||17
82000|Cylindrome eccrine dermique (C44.-)|Adenocarcinomas|3|5||17
82003|Carcinome adénoïde kystique|Adenocarcinomas|3|5||17
82012|Carcinome cribriforme intra-épithélial (C50.-)|Adenocarcinomas|3|5||17
82013|Carcinome cribriforme, SAI|Adenocarcinomas|3|5||17
82020|Adénome microkystique (C25.-)|Adenocarcinomas|3|5||17
82040|Adénome de lactation (C50.-)|Adenocarcinomas|3|5||17
82100|Polype adénomateux, SAI|Adenocarcinomas|3|5||17
82102|Adénocarcinome in situ sur polype adénomateux|Adenocarcinomas|3|5||17
82103|Adénocarcinome sur polyadénome|Adenocarcinomas|3|5||17
82110|Adénome tubuleux, SAI|Adenocarcinomas|3|5||17
82113|Adénocarcinome tubuleux|Adenocarcinomas|3|5||17
82120|Adénome plat|Adenocarcinomas|3|5||17
82130|Adénome dentelé (C18.-)|Adenocarcinomas|3|5||17
