CIMO3|LIBTOPOCIMO3|CODTOPOCIMO3|reg_codtopocimo3|reg_libtopocimo3|Topo_encr|TOPO_IACR|GROUPE_TOPO_IACR
C00.8|Lésion à localisations contiguës de la lèvre|C008|C00|Lèvre|Lèvre|Bouche|1
C00.6|Commissure des lèvres|C006|C00|Lèvre|Lèvre|Bouche|1
C00.1|Face externe de la lèvre inférieure|C001|C00|Lèvre|Lèvre|Bouche|1
C00.2|Face externe de la lèvre SAI|C002|C00|Lèvre|Lèvre|Bouche|1
C00.5|Muqueuse de la lèvre SAI|C005|C00|Lèvre|Lèvre|Bouche|1
C00.3|Muqueuse de la lèvre supérieure|C003|C00|Lèvre|Lèvre|Bouche|1
C00.9|Lèvre SAI (à l'exclusion de la peau de la lèvre)|C009|C00|Lèvre|Lèvre|Bouche|1
C00.0|Face externe de la lèvre supérieure|C000|C00|Lèvre|Lèvre|Bouche|1
C00.4|Muqueuse de la lèvre inférieure|C004|C00|Lèvre|Lèvre|Bouche|1
C01.9|Base de la langue SAI|C019|C01|Base de la langue|Langue|Langue|2
C02.2|Face ventrale de la langue SAI|C022|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.1|Bord de la langue|C021|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.9|Langue SAI|C029|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.0|Face dorsale de la langue SAI|C020|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.4|Amygdale linguale|C024|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.8|Lésion à localisations contiguës de la langue|C028|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C02.3|Deux tiers antérieurs de la langue SAI|C023|C02|Autres localisations et localisations non specifiees de la langue|Langue|Langue|2
C03.9|Gencive SAI|C039|C03|Gencive|Gencive|Bouche|1
C03.1|Gencive inférieure|C031|C03|Gencive|Gencive|Bouche|1
C03.0|Gencive supérieure|C030|C03|Gencive|Gencive|Bouche|1
C04.9|Plancher de la bouche SAI|C049|C04|Plancher de la bouche|Plancher de la bouche|Bouche|1
C04.1|Plancher latéral de la bouche|C041|C04|Plancher de la bouche|Plancher de la bouche|Bouche|1
C04.0|Plancher antérieur de la bouche|C040|C04|Plancher de la bouche|Plancher de la bouche|Bouche|1
C04.8|Lésion à localisations contiguës du plancher de la bouche|C048|C04|Plancher de la bouche|Plancher de la bouche|Bouche|1
C05.8|Lésion à localisations contiguës du palais|C058|C05|Palais|Autres localisations de la bouche|Bouche|1
C05.1|Palais mou SAI (à l'exclusion de la face nasopharyngée du palais mou)|C051|C05|Palais|Autres localisations de la bouche|Bouche|1
C05.2|Luette|C052|C05|Palais|Autres localisations de la bouche|Bouche|1
C05.0|Palais dur|C050|C05|Palais|Autres localisations de la bouche|Bouche|1
C05.9|Palais SAI|C059|C05|Palais|Autres localisations de la bouche|Bouche|1
C06.9|Bouche SAI|C069|C06|Autres localisations et localisations non spécifiées de la bouche|Autres localisations de la bouche|Bouche|1
C06.8|Lésion à localisations contiguës de la bouche|C068|C06|Autres localisations et localisations non spécifiées de la bouche|Autres localisations de la bouche|Bouche|1
C06.2|Région rétromolaire|C062|C06|Autres localisations et localisations non spécifiées de la bouche|Autres localisations de la bouche|Bouche|1
C06.1|Vestibule de la bouche|C061|C06|Autres localisations et localisations non spécifiées de la bouche|Autres localisations de la bouche|Bouche|1
C06.0|Muqueuse de la joue|C060|C06|Autres localisations et localisations non spécifiées de la bouche|Autres localisations de la bouche|Bouche|1
C07.9|Glande parotide|C079|C07|Glande parotide|Glandes salivaires|Glande parotide|3
C08.9|Glande salivaire principale SAI|C089|C08|Autres glandes salivaires principales et glandes salivaires principales non spécifiées|Glandes salivaires|Glandes salivaires|4
C08.8|Lésion à localisations contiguës des glandes salivaires principales|C088|C08|Autres glandes salivaires principales et glandes salivaires principales non spécifiées|Glandes salivaires|Glandes salivaires|4
C08.1|Glande sub-linguale|C081|C08|Autres glandes salivaires principales et glandes salivaires principales non spécifiées|Glandes salivaires|Glandes salivaires|4
C08.0|Glande sous-maxillaire|C080|C08|Autres glandes salivaires principales et glandes salivaires principales non spécifiées|Glandes salivaires|Glandes salivaires|4
C09.9|Amygdale SAI (à l'exclusion de l'amygdale linguale et de l'amygdale pharyngée)|C099|C09|Amygdale|Oropharynx|Pharynx (hors nasopahrynx)|5
C09.8|Lésion à localisations contiguës de l'amygdale|C098|C09|Amygdale|Oropharynx|Pharynx (hors nasopahrynx)|5
C09.1|Pilier de l'amygdale|C091|C09|Amygdale|Oropharynx|Pharynx (hors nasopahrynx)|5
C09.0|Loge amygdalienne|C090|C09|Amygdale|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.9|Oropharynx SAI|C109|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.8|Lésion à localisations contiguës de l'oropharynx|C108|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.4|Fente branchiale (en tant que localisation néoplasique)|C104|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.3|Paroi postérieure de l'oropharynx|C103|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.2|Paroi latérale de l'oropharynx|C102|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.1|Face antérieure de l'épiglotte|C101|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C10.0|Vallécule|C100|C10|Oropharynx|Oropharynx|Pharynx (hors nasopahrynx)|5
C11.9|Nasopharynx SAI|C119|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C11.8|Lésion à localisations contiguës du nasopharynx|C118|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C11.3|Paroi antérieure du nasopharynx|C113|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C11.2|Paroi latérale du nasopharynx|C112|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C11.1|Paroi postérieure du nasopharynx|C111|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C11.0|Paroi supérieure du nasopharynx|C110|C11|Nasopharynx (arrière-cavité des fosses nasales, cavum, épipharynx rhino-pharynx)|Nasopharynx|Nasopharynx|6
C12.9|Sinus piriforme|C129|C12|Sinus piriforme|Hypopharynx|Pharynx (hors nasopahrynx)|5
C13.9|Hypopharynx SAI|C139|C13|Hypopharynx|Hypopharynx|Pharynx (hors nasopahrynx)|5
C13.2|Paroi postérieure de l'hypopharynx|C132|C13|Hypopharynx|Hypopharynx|Pharynx (hors nasopahrynx)|5
C13.8|Lésion à localisations contiguës de|C138|C13|Hypopharynx|Hypopharynx|Pharynx (hors nasopahrynx)|5
C13.0|Région rétrocricoïdienne|C130|C13|Hypopharynx|Hypopharynx|Pharynx (hors nasopahrynx)|5
C13.1|Face hypopharyngée du repli ary-épiglottique|C131|C13|Hypopharynx|Hypopharynx|Pharynx (hors nasopahrynx)|5
C14.0|Pharynx SAI|C140|C14|Autres localisations et localisations mal définies de la lèvre, de la cavité buccale et du pharynx|Autres localisations de la lèvre, de la cavité buccale et du pharynx|Pharynx (hors nasopahrynx)|5
C14.8|Lésion à localisations contiguës de la lèvre, de la cavité buccale et du pharynx|C148|C14|Autres localisations et localisations mal définies de la lèvre, de la cavité buccale et du pharynx|Autres localisations de la lèvre, de la cavité buccale et du pharynx|Pharynx (hors nasopahrynx)|5
C14.2|Anneau de Waldeyer|C142|C14|Autres localisations et localisations mal définies de la lèvre, de la cavité buccale et du pharynx|Autres localisations de la lèvre, de la cavité buccale et du pharynx|Pharynx (hors nasopahrynx)|5
C15.4|Tiers moyen de l'œsophage|C154|C15|Oesophage|Oesophage|Oesophage|7
C15.2|Œsophage abdominal|C152|C15|Oesophage|Oesophage|Oesophage|7
C15.5|Tiers inférieur de l'œsophage|C155|C15|Oesophage|Oesophage|Oesophage|7
C15.1|Œsophage thoracique|C151|C15|Oesophage|Oesophage|Oesophage|7
C15.3|Tiers supérieur de l'œsophage|C153|C15|Oesophage|Oesophage|Oesophage|7
C15.0|Œsophage cervical|C150|C15|Oesophage|Oesophage|Oesophage|7
C15.9|Œsophage SAI|C159|C15|Oesophage|Oesophage|Oesophage|7
C15.8|Lésion à localisations contiguës de l'œsophage|C158|C15|Oesophage|Oesophage|Oesophage|7
C16.9|Estomac SAI|C169|C16|Estomac|Estomac|Estomac|8
C16.8|Lésion à localisations contiguës de l'estomac|C168|C16|Estomac|Estomac|Estomac|8
C16.6|Grande courbure de l'estomac SAI (non classable de C16.0 à C16.4)|C166|C16|Estomac|Estomac|Estomac|8
C16.5|Petite courbure de l'estomac SAI (non classable de C16.1 à C16.4)|C165|C16|Estomac|Estomac|Estomac|8
C16.4|Pylore|C164|C16|Estomac|Estomac|Estomac|8
C16.3|Antre gastrique|C163|C16|Estomac|Estomac|Estomac|8
C16.2|Corps de l'estomac|C162|C16|Estomac|Estomac|Estomac|8
C16.1|Fundus de l'estomac|C161|C16|Estomac|Estomac|Estomac|8
C16.0|Cardia SAI|C160|C16|Estomac|Estomac|Estomac|8
C17.8|Lésion à localisations contiguës de l 'intestin grêle|C178|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
C17.3|Diverticule de Meckel (en tant que localisation d'un néoplasme)|C173|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
C17.2|Iléon (à l'exclusion de la valvule iléocaecale)|C172|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
C17.1|Jéjunum|C171|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
C17.0|Duodénum|C170|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
